date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:02	28685/28685	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202020%2012:17:31%20GMT	https://www.indonez.com/html-demo/Wave/about.html	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/about.html	(from https://www.indonez.com/html-demo/Wave/)
21:45:02	35987/35987	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202020%2012:17:31%20GMT	https://www.indonez.com/html-demo/Wave/blog-list.html	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/blog-list.html	(from https://www.indonez.com/html-demo/Wave/)
21:45:02	23816/23816	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202020%2012:17:31%20GMT	https://www.indonez.com/html-demo/Wave/careers.html	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/careers.html	(from https://www.indonez.com/html-demo/Wave/)
21:45:04	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2010%20Nov%202020%2020:45:02%20GMT	https://www.indonez.com/html-demo/Wave/contact.html	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/contact.html	(from https://www.indonez.com/html-demo/Wave/)
21:45:04	25696/25696	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202020%2012:17:34%20GMT	https://www.indonez.com/html-demo/Wave/education.html	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/education.html	(from https://www.indonez.com/html-demo/Wave/)
21:45:05	24657/24657	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202020%2012:17:34%20GMT	https://www.indonez.com/html-demo/Wave/customers.html	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/customers.html	(from https://www.indonez.com/html-demo/Wave/)
21:45:06	22072/22072	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202020%2012:17:35%20GMT	https://www.indonez.com/html-demo/Wave/roadmap.html	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/roadmap.html	(from https://www.indonez.com/html-demo/Wave/)
21:45:06	23788/23788	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202020%2012:17:35%20GMT	https://www.indonez.com/html-demo/Wave/legal-docs.html	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/legal-docs.html	(from https://www.indonez.com/html-demo/Wave/)
21:45:06	5406/5406	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202020%2012:17:35%20GMT	https://www.indonez.com/html-demo/Wave/signin.html	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/signin.html	(from https://www.indonez.com/html-demo/Wave/)
21:45:07	2270/2270	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-card-bg-1.png	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-card-bg-1.png	(from https://www.indonez.com/html-demo/Wave/)
21:45:07	1821/1821	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-card-bg-2.png	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-card-bg-2.png	(from https://www.indonez.com/html-demo/Wave/)
21:45:07	2238/2238	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-card-bg-3.png	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-card-bg-3.png	(from https://www.indonez.com/html-demo/Wave/)
21:45:08	1689/1689	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-card-bg-4.png	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-card-bg-4.png	(from https://www.indonez.com/html-demo/Wave/)
21:45:08	21168/21168	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jul%202020%2012:17:45%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-background-1.png	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-background-1.png	(from https://www.indonez.com/html-demo/Wave/)
21:45:08	8163/8163	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Jul%202020%2012:17:34%20GMT	https://www.indonez.com/html-demo/Wave/js/vendors/indonez.min.js	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/js/vendors/indonez.min.js	(from https://www.indonez.com/html-demo/Wave/)
21:45:09	74043/74043	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jul%202020%2012:17:47%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-mockup-1.png	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-mockup-1.png	(from https://www.indonez.com/html-demo/Wave/)
21:45:09	1731/1731	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Jul%202020%2012:17:31%20GMT	https://www.indonez.com/html-demo/Wave/js/config-theme.js	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/js/config-theme.js	(from https://www.indonez.com/html-demo/Wave/)
21:45:09	2984/2984	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:35%20GMT	https://www.indonez.com/html-demo/Wave/img/in-logo-1.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-logo-1.svg	(from https://www.indonez.com/html-demo/Wave/css/style.css)
21:45:09	25824/25824	---M--	200	added ('OK')	application/x-font-woff	date:Thu,%2009%20Jul%202020%2012:17:31%20GMT	https://www.indonez.com/html-demo/Wave/fonts/rubik-v9-latin-300.woff	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/fonts/rubik-v9-latin-300.woff	(from https://www.indonez.com/html-demo/Wave/css/style.css)
21:45:09	27516/27516	---M--	200	added ('OK')	application/x-font-woff	date:Thu,%2009%20Jul%202020%2012:17:34%20GMT	https://www.indonez.com/html-demo/Wave/fonts/rubik-v9-latin-regular.woff	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/fonts/rubik-v9-latin-regular.woff	(from https://www.indonez.com/html-demo/Wave/css/style.css)
21:45:10	28248/28248	---M--	200	added ('OK')	application/x-font-woff	date:Thu,%2009%20Jul%202020%2012:17:31%20GMT	https://www.indonez.com/html-demo/Wave/fonts/rubik-v9-latin-500.woff	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/fonts/rubik-v9-latin-500.woff	(from https://www.indonez.com/html-demo/Wave/css/style.css)
21:45:10	89824/89824	---M--	200	added ('OK')	application/x-font-woff	date:Thu,%2009%20Jul%202020%2012:17:31%20GMT	https://www.indonez.com/html-demo/Wave/fonts/fa-brands-400.woff	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/fonts/fa-brands-400.woff	(from https://www.indonez.com/html-demo/Wave/css/style.css)
21:45:11	103300/103300	---M--	200	added ('OK')	application/x-font-woff	date:Thu,%2009%20Jul%202020%2012:17:34%20GMT	https://www.indonez.com/html-demo/Wave/fonts/fa-solid-900.woff	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/fonts/fa-solid-900.woff	(from https://www.indonez.com/html-demo/Wave/css/style.css)
21:45:11	11570/11570	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202020%2012:17:41%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-background-3.jpg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-background-3.jpg	(from https://www.indonez.com/html-demo/Wave/homepage2.html)
21:45:12	1881/1881	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-icon-8.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-icon-8.svg	(from https://www.indonez.com/html-demo/Wave/homepage2.html)
21:45:12	2683/2683	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-icon-9.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-icon-9.svg	(from https://www.indonez.com/html-demo/Wave/homepage2.html)
21:45:12	3046/3046	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202020%2012:17:45%20GMT	https://www.indonez.com/html-demo/Wave/img/in-widget-image-1.jpg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-widget-image-1.jpg	(from https://www.indonez.com/html-demo/Wave/homepage2.html)
21:45:12	2899/2899	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202020%2012:17:45%20GMT	https://www.indonez.com/html-demo/Wave/img/in-widget-image-2.jpg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-widget-image-2.jpg	(from https://www.indonez.com/html-demo/Wave/homepage2.html)
21:45:13	142399/142399	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jul%202020%2012:17:47%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-background-2.png	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-background-2.png	(from https://www.indonez.com/html-demo/Wave/homepage2.html)
21:45:13	3294/3294	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202020%2012:17:45%20GMT	https://www.indonez.com/html-demo/Wave/img/in-widget-image-3.jpg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-widget-image-3.jpg	(from https://www.indonez.com/html-demo/Wave/homepage2.html)
21:45:13	31486/31486	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jul%202020%2012:17:46%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-mockup-2.png	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-mockup-2.png	(from https://www.indonez.com/html-demo/Wave/homepage2.html)
21:45:13	4157/4157	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-icon-10.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-icon-10.svg	(from https://www.indonez.com/html-demo/Wave/homepage2.html)
21:45:14	42525/42525	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:42%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-background-4.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-background-4.svg	(from https://www.indonez.com/html-demo/Wave/homepage2.html)
21:45:14	6700/6700	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202020%2012:17:45%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-testibg.jpg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-testibg.jpg	(from https://www.indonez.com/html-demo/Wave/homepage3.html)
21:45:14	43448/43448	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jul%202020%2012:17:42%20GMT	https://www.indonez.com/html-demo/Wave/img/in-testimoni-1.png	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-testimoni-1.png	(from https://www.indonez.com/html-demo/Wave/homepage3.html)
21:45:15	61659/61659	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jul%202020%2012:17:48%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-mockup-3.png	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-mockup-3.png	(from https://www.indonez.com/html-demo/Wave/homepage3.html)
21:45:15	4902/4902	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-icon-11.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-icon-11.svg	(from https://www.indonez.com/html-demo/Wave/homepage3.html)
21:45:15	2357/2357	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-icon-12.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-icon-12.svg	(from https://www.indonez.com/html-demo/Wave/homepage3.html)
21:45:16	6436/6436	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-icon-13.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-icon-13.svg	(from https://www.indonez.com/html-demo/Wave/homepage3.html)
21:45:16	18811/18811	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jul%202020%2012:17:45%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-background-3.png	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-background-3.png	(from https://www.indonez.com/html-demo/Wave/homepage3.html)
21:45:16	23297/23297	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jul%202020%2012:17:46%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-mockup-4.png	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-mockup-4.png	(from https://www.indonez.com/html-demo/Wave/homepage3.html)
21:45:17	2692/2692	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:40%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-award.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-award.svg	(from https://www.indonez.com/html-demo/Wave/homepage4.html)
21:45:17	1815/1815	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-media-1.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-media-1.svg	(from https://www.indonez.com/html-demo/Wave/homepage4.html)
21:45:17	80331/80331	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-image-2.jpg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-image-2.jpg	(from https://www.indonez.com/html-demo/Wave/homepage4.html)
21:45:17	4244/4244	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-media-2.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-media-2.svg	(from https://www.indonez.com/html-demo/Wave/homepage4.html)
21:45:18	1698/1698	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-media-3.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-media-3.svg	(from https://www.indonez.com/html-demo/Wave/homepage4.html)
21:45:18	10961/10961	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-media-4.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-media-4.svg	(from https://www.indonez.com/html-demo/Wave/homepage4.html)
21:45:18	2258/2258	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-media-5.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-media-5.svg	(from https://www.indonez.com/html-demo/Wave/homepage4.html)
21:45:19	8747/8747	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-icon-14.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-icon-14.svg	(from https://www.indonez.com/html-demo/Wave/homepage4.html)
21:45:19	5654/5654	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-icon-15.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-icon-15.svg	(from https://www.indonez.com/html-demo/Wave/homepage4.html)
21:45:19	5573/5573	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-icon-16.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-icon-16.svg	(from https://www.indonez.com/html-demo/Wave/homepage4.html)
21:45:19	2670/2670	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jul%202020%2012:17:44%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-icon-17.svg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-icon-17.svg	(from https://www.indonez.com/html-demo/Wave/homepage4.html)
21:45:20	11737/11737	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202020%2012:17:45%20GMT	https://www.indonez.com/html-demo/Wave/img/in-wave-platformbg.jpg	C:/Users/mriam/OneDrive/Desktop/forex%204/usd/theme/www.indonez.com/html-demo/Wave/img/in-wave-platformbg.jpg	(from https://www.indonez.com/html-demo/Wave/homepage4.html)
